gpu|score|rank
128 DDR Radeon 9700 TX w/TV-Out|44|1084
128MB DDR Radeon 9800 Pro|79|1001
128MB RADEON X600 SE|48|1074
256MB RADEON X600|69|1020
7900 MOD - Radeon HD 6520G|610|520
ABIT Siluro T400|3|1286
ALL-IN-WONDER 9000|4|1254
ALL-IN-WONDER RADEON 8500DV|5|1222
All-in-Wonder X1900|127|890
ALL-IN-WONDER X800 GT|84|989
Barco MXRT 5450|782|381
Chell 1.7b for Mobile Intel 945|6|1217
Chipset Intel G41 Express|57|1049
FireGL T2-128|35|1123
FireGL V3100|52|1062
FireGL V3300|70|1017
FireGL V3350|71|1015
FireGL V3400|102|941
FireGL V3600|190|829
FireGL V5100|92|969
FireGL V5200|113|911
FireGL V5600|351|694
FireGL V7200|110|915
FireGL V7350|104|929
FireGL V7600|613|514
FireGL V7700|650|484
FireGL V8650|494|613
FireGL X1|59|1045
FireMV 2200 PCIe|36|1114
FireMV 2250|50|1068
FireMV 2260|110|917
FireMV 2400 PCIe|13|1191
FirePro 2260|117|901
FirePro 2270|229|776
FirePro 2450|61|1041
FirePro 2460|199|810
FirePro 3D V3700|190|830
FirePro 3D V3750|335|708
FirePro 3D V3800|468|631
FirePro 3D V4800|1085|253
FirePro 3D V5700|561|556
FirePro 3D V5800|1333|208
FirePro 3D V7750|509|604
FirePro 3D V7800|1784|159
FirePro 3D V8700|1120|248
FirePro 3D V8750|1267|222
FirePro 3D V8800|2533|117
FirePro 3D V9800|2811|102
FirePro M2000|609|522
FirePro M4000|1419|191
FirePro M40003|1416|192
Firepro M4100|1053|262
FirePro M4150|1035|270
FirePro M4170|1105|250
FirePro M5100|2103|133
FirePro M6000 Mobility Pro|1654|169
FirePro M6100|2772|103
FirePro M7740|638|496
FirePro S7000|4043|63
FirePro V3900|861|335
FirePro V4900|1295|217
FirePro V5900|1514|186
FirePro V7900|2669|109
FirePro V9800 Adapter|2078|135
FirePro W2100|881|330
FirePro W2100 Adapter|900|321
FirePro W4100|1581|174
FirePro W4100 Adapter|1524|185
FirePro W4170M|1135|243
FirePro W5000|2958|90
FirePro W5100|2744|104
FirePro W5100 Adapter|2736|105
FirePro W600|1693|164
FirePro W7000|4058|62
FirePro W7000 Adapter|4165|58
FirePro W7100|5212|37
FirePro W7170M|5205|38
FirePro W8000|4328|54
FirePro W8100|5432|29
FirePro W9000|5244|34
FirePro W9100|6497|19
FireStream 9250|1164|239
FireStream 9270|1341|207
GeForce 205|124|892
GeForce 210|183|831
GeForce 256|5|1228
GeForce 305M|190|828
GeForce 310|214|796
GeForce 310M|221|786
GeForce 315|267|753
GeForce 315M|219|787
GeForce 320M|280|743
GeForce 405|229|777
GeForce 410M|338|703
GeForce 505|196|816
GeForce 510|302|728
GeForce 605|315|720
GeForce 6100|21|1173
GeForce 6100 nForce 400|24|1161
GeForce 6100 nForce 405|22|1172
GeForce 6100 nForce 420|24|1164
GeForce 6100 nForce 430|23|1167
GeForce 610M|396|669
GeForce 615|542|574
GeForce 6150|22|1170
GeForce 6150 LE|21|1174
GeForce 6150SE|24|1165
GeForce 6150SE nForce 430|22|1171
GeForce 6200|44|1086
GeForce 6200 A-LE|31|1135
GeForce 6200 LE|26|1152
GeForce 6200 TurboCache|38|1111
GeForce 6200SE TurboCache|29|1144
GeForce 6500|36|1116
GeForce 6600|63|1033
GeForce 6600 GT|101|947
GeForce 6600 LE|50|1064
GeForce 6610 XL|94|962
GeForce 6700 XL|106|926
GeForce 6800|111|914
GeForce 6800 GS|137|875
GeForce 6800 GS/XT|101|942
GeForce 6800 GT|139|872
GeForce 6800 LE|97|955
GeForce 6800 Ultra|138|874
GeForce 6800 XT|106|925
GeForce 7000M|13|1188
GeForce 7000M / nForce 610M|13|1190
GeForce 7025 / nForce 630a|25|1159
GeForce 7050 / nForce 610i|27|1149
GeForce 7050 / nForce 620i|33|1129
GeForce 7050 / nForce 630i|26|1156
GeForce 7050 PV / nForce 630a|22|1169
GeForce 705M|470|629
GeForce 7100 / nForce 630i|30|1138
GeForce 7100 GS|42|1097
GeForce 710A|387|674
GeForce 710M|542|575
GeForce 7150 / nForce 630i|33|1128
GeForce 7150M / nForce 630M|17|1183
GeForce 7300 GS|64|1030
GeForce 7300 GT|109|918
GeForce 7300 LE|54|1060
GeForce 7300 SE|42|1099
GeForce 7300 SE/7200 GS|40|1106
GeForce 730A|729|419
GeForce 7350 LE|74|1006
GeForce 7500 LE|70|1018
GeForce 7600 GS|134|878
GeForce 7600 GT|182|833
GeForce 7650 GS|134|879
GeForce 7800 GS|182|834
GeForce 7800 GT|192|823
GeForce 7800 GTX|227|779
GeForce 7900 GS|219|789
GeForce 7900 GT|258|764
GeForce 7900 GT/GTO|245|771
GeForce 7900 GTX|301|731
GeForce 7950 GT|260|759
GeForce 7950 GX2|194|820
GeForce 800A|440|645
